Country Name,Country Code,2017 [YR2017] - Access to electricity (% of population) [EG.ELC.ACCS.ZS],2017 [YR2017] - Access to clean fuels and technologies for cooking (% of population) [EG.CFT.ACCS.ZS],2017 [YR2017] - Control of Corruption: Estimate [CC.EST],"2017 [YR2017] - Children in employment, total (% of children ages 7-14) [SL.TLF.0714.ZS]",2017 [YR2017] - Government Effectiveness: Estimate [GE.EST],"2017 [YR2017] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","2017 [YR2017] - Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]",2017 [YR2017] - Methane emissions (metric tons of CO2 equivalent per capita) [EN.ATM.METH.PC],2017 [YR2017] - Political Stability and Absence of Violence/Terrorism: Estimate [PV.EST],2017 [YR2017] - Prevalence of undernourishment (% of population) [SN.ITK.DEFC.ZS],2017 [YR2017] - Prevalence of overweight (% of adults) [SH.STA.OWAD.ZS],2017 [YR2017] - Renewable electricity output (% of total electricity output) [EG.ELC.RNEW.ZS],"2017 [YR2017] - School enrollment, primary (% gross) [SE.PRM.ENRR]",2017 [YR2017] - Strength of legal rights index (0=weak to 12=strong) [IC.LGL.CRED.XQ],"2017 [YR2017] - Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]"
Small states,SST,79.9607973895994,..,..,..,..,69.261389799666,85.94953,..,..,13.12349640563,..,..,106.5612,5.41666666666667,9.57285449650973
South Asia,SAS,89.8864892428194,..,..,..,..,69.1713119009688,71.69524,..,..,15.3441571439123,..,..,110.2115,5.25,2.77276054392215
South Asia (IDA & IBRD),TSA,89.8864892428194,..,..,..,..,69.1713119009688,71.69524,..,..,15.3441571439123,..,..,110.2115,5.25,2.77276054392215
Sub-Saharan Africa,SSF,44.5735868076554,..,..,..,..,60.8800023700024,65.05196,..,..,21.3504029980237,..,..,97.91363,5.02083333333333,6.12127776439593
Sub-Saharan Africa (excluding high income),SSA,44.5685113197542,..,..,..,..,60.8787774728612,65.0482,..,..,21.3504029980237,..,..,97.91353,5.08510638297872,6.12127776439593
Sub-Saharan Africa (IDA & IBRD),TSS,44.5735868076553,..,..,..,..,60.8800023700024,65.05196,..,..,21.3504029980237,..,..,97.91363,5.02083333333333,6.12127776439593
Upper middle income,UMC,99.3685736883996,..,..,..,..,75.5225332493901,95.02833,..,..,7.21483773082868,..,..,102.4079,5.43636363636364,6.06269606099586
World,WLD,88.8670732901242,..,..,..,..,72.3830086612671,86.12593,..,..,10.8,..,..,103.6537,5.35263157894737,5.04858059712278
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Data from database: Environment Social and Governance (ESG) Data,,,,,,,,,,,,,,,,
Last Updated: 02/29/2020,,,,,,,,,,,,,,,,
