Country Name,Country Code,2017 [YR2017] - Access to electricity (% of population) [EG.ELC.ACCS.ZS],2017 [YR2017] - Access to clean fuels and technologies for cooking (% of population) [EG.CFT.ACCS.ZS],2017 [YR2017] - Control of Corruption: Estimate [CC.EST],"2017 [YR2017] - Children in employment, total (% of children ages 7-14) [SL.TLF.0714.ZS]",2017 [YR2017] - Government Effectiveness: Estimate [GE.EST],"2017 [YR2017] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","2017 [YR2017] - Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]",2017 [YR2017] - Methane emissions (metric tons of CO2 equivalent per capita) [EN.ATM.METH.PC],2017 [YR2017] - Political Stability and Absence of Violence/Terrorism: Estimate [PV.EST],2017 [YR2017] - Prevalence of undernourishment (% of population) [SN.ITK.DEFC.ZS],2017 [YR2017] - Prevalence of overweight (% of adults) [SH.STA.OWAD.ZS],2017 [YR2017] - Renewable electricity output (% of total electricity output) [EG.ELC.RNEW.ZS],"2017 [YR2017] - School enrollment, primary (% gross) [SE.PRM.ENRR]",2017 [YR2017] - Strength of legal rights index (0=weak to 12=strong) [IC.LGL.CRED.XQ],"2017 [YR2017] - Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]"
Mali,MLI,43.0898399353027,..,-0.6349823,..,-0.9375542,58.452,..,..,-1.910102,6.3,..,..,80.17078,6,9.4350004196167
Malta,MLT,100,..,0.7398102,..,1.004575,82.4536585365854,..,..,1.265052,2.5,..,..,..,2,4.56699991226196
Marshall Islands,MHL,94.7550048828125,..,0.0018501,..,-1.552681,..,..,..,0.2046465,..,..,..,..,10,..
Mauritania,MRT,42.9123191833496,..,-0.7508865,..,-0.7202016,64.464,53.49759,..,-0.6191258,10.4,..,..,96.65904,2,10.2760000228882
Mauritius,MUS,98.0314331054688,..,0.2005712,..,0.8996159,74.5146341463415,..,..,0.9947399,6.5,..,..,101.5252,6,6.7519998550415
Mexico,MEX,100,..,-0.9275277,..,-0.0253529,74.947,94.97278,..,-0.6470126,3.6,..,..,105.77,10,3.42000007629395
"Micronesia, Fed. Sts.",FSM,80.7566833496094,..,0.7494102,..,0.0901108,67.618,..,..,1.203325,..,..,..,..,10,..
Moldova,MDA,100,..,-0.7981909,..,-0.5110461,71.717,..,..,-0.2399503,..,..,..,91.25053,8,4.09800004959106
Monaco,MCO,100,..,..,..,..,..,..,..,1.649579,..,..,..,..,..,..
Mongolia,MNG,85.8696517944336,..,-0.4513333,..,-0.2618995,69.509,..,..,0.8163508,13.4,..,..,102.9341,9,6.35900020599365
Montenegro,MNE,100,..,-0.0874072,..,0.1543928,76.667,..,..,0.0128939,2.5,..,..,98.11321,12,16.0709991455078
Morocco,MAR,100,..,-0.1324078,..,-0.1599344,76.218,..,..,-0.409674,3.4,..,..,112.4022,2,9.05300045013428
Mozambique,MOZ,27.4254703521729,..,-0.8557664,..,-0.8926979,59.309,60.65543,..,-0.97553,27.9,..,..,107.8132,1,3.17300009727478
Myanmar,MMR,69.8148365975088,..,-0.5648692,..,-1.051279,66.558,..,..,-1.084084,10.6,..,..,112.2236,2,1.55099999904633
Namibia,NAM,52.5011825561523,..,0.3247772,..,0.1986655,63.021,..,..,0.650074,27.3,..,..,..,5,23.0879993438721
Nauru,NRU,99.5531692504883,..,-0.4726073,..,-0.4338872,..,..,..,0.5737255,..,..,..,..,..,..
Nepal,NPL,95.5074768066406,..,-0.7491414,..,-0.8817721,70.169,..,..,-0.662325,8.7,..,..,143.9195,10,1.25300002098083
Netherlands,NLD,100,..,1.867232,..,1.851844,81.5609756097561,..,..,0.9166426,2.5,..,..,104.2296,2,4.83900022506714
New Zealand,NZL,100,..,2.241001,..,1.766219,81.6585365853659,..,..,1.593475,2.5,..,..,99.97476,12,4.7020001411438
Nicaragua,NIC,86.7677993774414,..,-0.8717744,..,-0.6382679,74.068,..,..,-0.045383,17,..,..,..,1,4.21299982070923
Niger,NER,20.0419044494629,..,-0.6473674,..,-0.6733168,61.599,..,..,-1.30297,16.5,..,..,74.7362,6,0.284999996423721
Nigeria,NGA,54.4,..,-1.067754,..,-0.9603581,53.95,..,..,-1.943169,13.4,..,..,..,9,6.01300001144409
North Macedonia,MKD,100,..,-0.3068783,..,0.1400139,75.589,..,..,-0.2490147,3.2,..,..,..,9,22.3810005187988
Norway,NOR,100,..,2.236664,..,1.983251,82.509756097561,..,..,1.153221,2.5,..,..,100.2602,5,4.16200017929077
Oman,OMN,100,..,0.2478644,..,0.2069324,77.393,95.576,..,0.7415977,6.8,..,..,106.3647,1,3.13700008392334
Pakistan,PAK,70.79,..,-0.7778516,..,-0.5849866,66.947,59.13205,..,-2.399124,20.3,..,..,90.58917,2,3.18099999427795
Palau,PLW,100,..,-0.4726073,..,-0.2289631,..,..,..,0.9428045,..,..,..,..,10,..
Panama,PAN,100,..,-0.5393754,..,0.0082321,78.149,..,..,0.3918229,10,..,..,94.38599,8,3.90000009536743
Papua New Guinea,PNG,54.4274482727051,..,-0.8985449,..,-0.6577933,64.01,..,..,-0.5829621,..,..,..,..,9,2.35199999809265
Paraguay,PRY,99.3,..,-0.7247797,..,-0.8123924,73.992,..,..,0.1177736,10.7,..,..,..,1,4.61499977111816
Peru,PER,96.3629913330078,..,-0.495882,..,-0.1278887,76.286,94.14961,..,-0.2556109,9.7,..,..,103.5196,7,3.46000003814697
Philippines,PHL,93,..,-0.4751925,..,-0.0627048,70.952,..,..,-1.236888,13.3,..,..,107.5098,1,2.55200004577637
Poland,POL,100,..,0.725145,..,0.6345671,77.8512195121951,..,..,0.5213445,2.5,..,..,100.0159,7,4.88700008392334
Portugal,PRT,100,..,0.8740765,..,1.332172,81.1243902439025,..,..,1.079428,2.5,..,..,106.1831,2,8.86699962615967
Qatar,QAT,100,..,0.7340495,..,0.7428962,79.981,93.46397,..,0.5465105,..,..,..,103.2807,1,0.140000000596046
Romania,ROU,100,..,-0.0311805,..,-0.173383,75.309756097561,..,..,0.0571236,2.5,..,..,..,9,4.92700004577637
Russian Federation,RUS,100,..,-0.8919385,..,-0.0776052,72.1190243902439,..,..,-0.6738226,2.5,..,..,102.5825,9,5.21199989318848
Rwanda,RWA,34.1,..,0.6332065,..,0.2608743,68.341,..,..,0.0391968,36.8,..,..,137.6818,10,0.953999996185303
Samoa,WSM,96.8,..,0.659628,..,0.6164538,73.046,..,..,1.203325,2.7,..,..,108.5488,9,8.32400035858154
San Marino,SMR,100,..,..,..,..,..,..,..,0.9428045,..,..,..,..,1,..
Sao Tome and Principe,STP,72.5107040405273,..,0.1417677,..,-0.7675905,69.933,..,..,0.2150779,7,..,..,106.7915,0,13.1389999389648
Saudi Arabia,SAU,100,..,0.3640488,..,0.2475115,74.874,95.32863,..,-0.6207026,7.1,..,..,..,1,5.8899998664856
Senegal,SEN,61.7,..,-0.0860353,..,-0.3197731,67.38,51.90042,..,-0.0447035,11.3,..,..,85.57928,6,6.43699979782104
Serbia,SRB,100,..,-0.3747536,..,0.1915469,76.0878048780488,..,..,0.1022786,5.7,..,..,100.3129,6,13.4770002365112
Seychelles,SYC,100,..,0.6812423,..,0.4150706,74.3,..,..,0.676641,..,..,..,99.84532,2,..
Sierra Leone,SLE,23.4,..,-0.5893176,..,-1.205864,53.895,..,..,0.0298302,25.6,..,..,124.4763,5,4.32499980926514
Singapore,SGP,100,..,2.133488,..,2.205368,82.8951219512195,97.20225,..,1.585588,..,..,..,100.627,8,3.90700006484985
Slovak Republic,SVK,100,..,0.2240206,..,0.8074191,77.1658536585366,..,..,0.8813742,3.4,..,..,98.73205,7,8.13099956512451
Slovenia,SVN,100,..,0.8139435,..,1.170744,81.1756097560976,..,..,0.8946251,2.5,..,..,100.3967,3,6.56400012969971
Solomon Islands,SLB,62.8956413269043,..,0.111802,..,-1.005798,72.645,..,..,0.214735,8.9,..,..,112.6239,10,1.77100002765656
Somalia,SOM,32.9465141296387,..,-1.715736,..,-2.21349,56.709,..,..,-2.326141,..,..,..,..,0,13.9130001068115
South Africa,ZAF,84.4,..,-0.0081381,..,0.2784731,63.538,87.04667,..,-0.2673192,6.2,..,..,100.8647,5,27.3269996643066
South Sudan,SSD,25.3820705413818,..,-1.712713,..,-2.478397,57.365,..,..,-2.46105,..,..,..,..,2,12.6389999389648
Spain,ESP,100,..,0.4919703,..,1.034051,83.3292682926829,..,..,0.2694397,2.5,..,..,102.7103,5,17.2240009307861
Sri Lanka,LKA,97.5449752807617,..,-0.4514824,..,-0.1511021,76.648,91.89575,..,-0.0605043,9,..,..,100.6327,2,4.17999982833862
St. Kitts and Nevis,KNA,100,..,0.5077242,..,0.5608362,..,..,..,0.6429279,..,..,..,..,5,..
St. Lucia,LCA,98.7597885131836,..,0.5870592,..,0.2656847,75.907,..,..,1.15488,..,..,..,102.0014,5,20.7900009155273
St. Vincent and the Grenadines,VCT,100,..,0.724358,..,0.2656847,72.3,..,..,0.8989041,5.7,..,..,110.6618,5,19.7310009002686
Sudan,SDN,56.4515495300293,..,-1.544762,..,-1.414937,64.881,..,..,-2.007265,20.1,..,..,76.81606,3,12.7729997634888
Suriname,SUR,96.7831420898438,..,-0.1740105,..,-0.6166974,71.463,..,..,0.1353284,8.5,..,..,110.5575,2,7.59899997711182
Sweden,SWE,100,..,2.138839,..,1.837629,82.3073170731707,..,..,0.976789,2.5,..,..,126.5754,7,6.71799993515015
Switzerland,CHE,100,..,1.988966,..,2.056275,83.6024390243903,..,..,1.208698,2.5,..,..,105.1907,6,4.79699993133545
Syrian Arab Republic,SYR,89.638786315918,..,-1.56242,..,-1.787541,70.967,..,..,-2.631369,..,..,..,..,1,8.0310001373291
Tajikistan,TJK,99.3,..,-1.330518,..,-1.1205,70.647,..,..,-0.6677241,..,..,..,100.8574,1,10.7379999160767
Tanzania,TZA,32.8133316040039,..,-0.4760671,..,-0.6294016,64.479,..,..,-0.5830427,30.7,..,..,89.21768,5,1.93900001049042
Thailand,THA,100,..,-0.3855207,..,0.3846208,76.683,..,..,-0.7573056,7.8,..,..,99.62503,7,0.632000029087067
Timor-Leste,TLS,80.3807525634766,..,-0.5398358,..,-0.9966559,69.007,..,..,0.0275951,24.9,..,..,119.7651,0,2.96300005912781
Togo,TGO,48,..,-0.7052022,..,-1.125332,60.489,..,..,-0.7398774,16.1,..,..,124.351,6,1.65799999237061
Tonga,TON,97.9675903320313,..,-0.1606112,..,-0.2174608,70.701,..,..,0.7927267,..,..,..,..,10,1.00300002098083
Trinidad and Tobago,TTO,100,..,-0.364186,..,0.2597381,73.245,..,..,0.2885051,5.5,..,..,..,7,2.81699991226196
Tunisia,TUN,100,..,-0.1065715,..,-0.0688245,76.31,..,..,-1.052719,4.3,..,..,115.6496,3,15.378999710083
Turkey,TUR,100,..,-0.1929147,..,0.0705116,77.161,96.15053,..,-1.796622,2.5,..,..,93.15498,4,10.8190002441406
Turkmenistan,TKM,100,..,-1.481765,..,-1.213455,67.956,..,..,-0.1483408,5.4,..,..,..,..,3.6949999332428
Tuvalu,TUV,100,..,0.0619364,..,-0.7431608,..,..,..,1.265519,..,..,..,..,..,..
Uganda,UGA,22,..,-1.038217,..,-0.5842058,62.516,..,..,-0.5573964,41,..,..,102.7047,5,1.69799995422363
Ukraine,UKR,100,..,-0.7835138,..,-0.4598058,71.7809756097561,..,..,-1.886041,3.5,..,..,..,8,9.51000022888184
United Arab Emirates,ARE,100,..,1.13369,..,1.398046,77.647,..,..,0.6274605,2.6,..,..,122.265,2,2.46300005912781
United Kingdom,GBR,100,..,1.843301,..,1.414262,81.1560975609756,..,..,0.2628686,2.5,..,..,101.1546,7,4.33500003814697
United States,USA,100,..,1.381283,..,1.554403,78.5390243902439,..,..,0.3045674,2.5,..,..,101.8214,11,4.35500001907349
Uruguay,URY,100,..,1.292767,..,0.4158669,77.632,98.61572,..,1.063136,2.5,..,..,108.4594,4,7.8899998664856
Uzbekistan,UZB,100,..,-1.158786,..,-0.5560198,71.388,..,..,-0.277865,6.3,..,..,103.6549,6,4.97200012207031
Vanuatu,VUT,62.784294128418,..,0.0060723,..,-0.9005539,70.172,..,..,0.7129492,7.2,..,..,..,11,5.4229998588562
"Venezuela, RB",VEN,100,..,-1.363519,..,-1.399024,72.246,..,..,-1.179866,21.2,..,..,97.15034,1,7.42199993133545
Vietnam,VNM,100,..,-0.5827382,..,0.0024033,75.241,..,..,0.305176,9.3,..,..,109.1508,8,1.8860000371933
"Yemen, Rep.",YEM,79.2,..,-1.592206,..,-1.919918,66.086,..,..,-2.961164,38.9,..,..,..,0,13.1750001907349
Zambia,ZMB,40.3,..,-0.5385522,..,-0.6219829,63.043,..,..,0.1104182,46.7,..,..,98.71552,11,7.20599985122681
Zimbabwe,ZWE,40.4213676452637,..,-1.270367,..,-1.190636,60.812,..,..,-0.7742645,51.3,..,..,..,5,4.94299983978271
Arab World,ARB,90.2736865998321,..,..,..,..,71.6225263276687,74.47393,..,..,11.854452689428,..,..,95.5207,1.77272727272727,9.95111010082331
Caribbean small states,CSS,98.3837313333542,..,..,..,..,73.5174924941115,..,..,..,7.25467676040191,..,..,98.37003,5.30769230769231,9.91456218789348
Central Europe and the Baltics,CEB,100,..,..,..,..,77.0339659062949,..,..,..,2.62853758423274,..,..,96.96879,7,5.29453485088925
Early-demographic dividend,EAR,89.6848298590141,..,..,..,..,70.2552611004123,79.01262,..,..,12.9676773632768,..,..,107.8682,4.60655737704918,4.53607295145514
East Asia & Pacific,EAS,97.8255563174976,..,..,..,..,75.8657476184635,95.46465,..,..,8.64964523371828,..,..,102.0474,7.27586206896552,3.86960988400797
